,Country,Region,Happiness Score,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity,Dystopia Residual,Country Code,2016_lifeexp,NHLY,2016_co2,2016_ch4,2016_n2o,2016_pop,2016_extcostratio,2016_llpp_who,PCEC,ERHNI
29,Colombia,Latin America and Caribbean,6.481,1.03032,1.02169,0.59659,0.44735,0.05399,0.15626,3.17471,COL,76.732,11.364009199999998,83760.0,71920.0,19890.0,48175048.0,1.0767023859861204,1.04,7.9559999999999995,2.7977650170944237
30,France,Western Europe,6.478,1.39488,1.00508,0.83795,0.46562,0.17808,0.1216,2.4744,FRA,82.5731707317073,12.204314634146337,312710.0,59940.0,37550.0,66724104.0,1.3235531939866343,0.41999999,3.2129999235,7.951738323119101
31,Thailand,Southeastern Asia,6.474,1.0893,1.04477,0.64915,0.49553,0.02833,0.58696,2.5796,THA,76.403,11.261802200000004,260720.0,76800.0,19120.0,68971313.0,0.7560028373153357,1.78,13.616999999999999,0.9673115642770789
32,Saudi Arabia,Middle East and Northern Africa,6.379,1.48953,0.84829,0.59267,0.37904,0.30008,0.15457,2.61482,SAU,74.761,10.309541899999997,556740.0,42570.0,5810.0,32443443.0,0.669970152582955,1.87,14.305500000000002,0.7252838822245327
33,Qatar,Middle East and Northern Africa,6.375,1.82427,0.87964,0.71723,0.56679,0.48049,0.32388,1.58224,QAT,79.868,10.98185,85280.0,7890.0,920.0,2654379.0,1.3501959696261312,2.49,19.048500000000004,-14.737357927423366
34,Spain,Western Europe,6.361,1.34253,1.12945,0.87896,0.37545,0.06137,0.17665,2.39663,ESP,83.3292682926829,11.34111341463414,247030.0,39260.0,19850.0,46484062.0,1.0389398584933647,0.18000001,1.3770000765,9.910493150009877
35,Algeria,Middle East and Northern Africa,6.355,1.05266,0.83309,0.61804,0.21006,0.16157,0.07044,3.40904,DZA,76.298,10.338379000000003,143350.0,49400.0,11890.0,40551398.0,0.8021978844056482,0.050000001,0.3825000076500001,10.03153830307803
36,Guatemala,Latin America and Caribbean,6.324,0.83454,0.87119,0.54039,0.50379,0.08701,0.28808,3.19863,GTM,73.541,9.736828399999998,17460.0,11540.0,4930.0,15827690.0,0.7551469925696198,2.1600001,16.524000765,-2.741221082907849
37,Suriname,Latin America and Caribbean,6.269,1.09686,0.77866,0.50933,0.52234,0.12692,0.16665,3.06852,SUR,71.358,9.055330200000002,2310.0,1400.0,270.0,564883.0,1.3656586681565852,0.039999999,0.30599999235,8.637438657991376
38,Kuwait,Middle East and Northern Africa,6.239,1.61714,0.87758,0.63569,0.43166,0.23669,0.15965,2.28085,KWT,75.224,9.320253600000001,89880.0,5870.0,710.0,3956862.0,0.7318884556481994,0.80000001,6.120000076499999,4.841096195443554
39,Bahrain,Middle East and Northern Africa,6.218,1.44024,0.94397,0.65696,0.47375,0.25772,0.17147,2.27405,BHR,76.899,9.366298200000001,30200.0,14240.0,70.0,1425793.0,1.645256529733273,1.3200001,10.098000764999998,-7.247503495867834
40,Trinidad and Tobago,Latin America and Caribbean,6.168,1.32572,0.98569,0.52608,0.48453,0.01241,0.31935,2.51394,TTO,73.1,8.53808,18230.0,1260.0,390.0,1377563.0,0.8034888716826233,0.0,0.0,8.53808
41,Venezuela,Latin America and Caribbean,6.084,1.13367,1.03302,0.61904,0.19847,0.08304,0.0425,2.97468,VEN,72.405,7.848701999999998,162060.0,73640.0,13190.0,29851249.0,1.2981592990924187,0.88,6.732,-0.8905064014901658
42,Slovakia,Central and Eastern Europe,6.078,1.27973,1.08268,0.70367,0.23391,0.02947,0.13837,2.61065,SVK,77.1658536585366,8.318479024390248,31500.0,4380.0,2010.0,5430798.0,0.9189035549410449,1.08,8.262,0.7264978534673343
43,El Salvador,Latin America and Caribbean,6.068,0.8737,0.80975,0.596,0.37269,0.10613,0.08877,3.22134,SLV,72.644,7.758379199999998,7170.0,4030.0,1220.0,6356137.0,0.4942672532955562,1.89,14.458499999999999,0.6120161182261983
44,Malaysia,Southeastern Asia,6.005,1.25142,0.88025,0.62366,0.39031,0.09081,0.41474,2.35384,MYS,75.649,7.6027245,228640.0,46250.0,11790.0,30684652.0,1.0575635549226015,0.91000003,6.9615002294999995,0.24049556969547492
45,Nicaragua,Latin America and Caribbean,5.992,0.69384,0.89521,0.65213,0.46582,0.16292,0.29773,2.82428,NIC,73.86,7.326912000000001,5380.0,9680.0,3460.0,6303970.0,1.3585648058764976,0.70999998,5.4314998469999995,-0.05213253525777972
46,Italy,Western Europe,5.977,1.35495,1.04167,0.85102,0.18827,0.02556,0.16684,2.34918,ITA,83.2439024390244,8.132929268292687,333340.0,44680.0,18060.0,60627498.0,0.7574574264596868,0.76999998,5.890499847,3.671126413622887
47,Ecuador,Latin America and Caribbean,5.976,0.97306,0.85974,0.68613,0.4027,0.18037,0.10074,2.77366,ECU,76.365,7.453224,39010.0,20510.0,4770.0,16491116.0,0.7897502314111913,1.13,8.644499999999999,0.6262281245659578
48,Belize,Latin America and Caribbean,5.956,0.87616,0.68655,0.45569,0.51231,0.10771,0.23684,3.08039,BLZ,74.219,7.0953364000000025,650.0,500.0,240.0,368399.0,1.5522397501987466,0.31,2.3715,3.414199832403675
49,Japan,Eastern Asia,5.921,1.38007,1.06054,0.91491,0.46761,0.18985,0.10224,1.80584,JPN,83.9848780487805,7.735007268292686,1171390.0,21440.0,18110.0,127076000.0,0.38060636463802106,0.60000002,4.590000153,5.988023996371396
50,Kazakhstan,Central and Eastern Europe,5.919,1.22943,0.95544,0.57386,0.4052,0.11132,0.15011,2.49325,KAZ,72.41,6.654478999999998,223020.0,40060.0,10150.0,17794055.0,1.5817755289393478,0.88,6.732,-3.994033860819692
51,Moldova,Central and Eastern Europe,5.897,0.69177,0.83132,0.52309,0.25202,0.01903,0.19997,3.38007,MDA,71.617,6.424044900000003,8140.0,3370.0,1030.0,2802170.0,0.9498934923079446,0.94999999,7.267499923499999,-0.4793059826811312
52,Russia,Central and Eastern Europe,5.856,1.23228,1.05261,0.58991,0.32682,0.03586,0.02736,2.59115,RUS,71.6512195121951,6.1333443902439,1530900.0,852550.0,58060.0,144342397.0,1.7334787845399757,0.68000001,5.202000076499999,-2.884212379544179
53,Poland,Central and Eastern Europe,5.835,1.24585,1.04685,0.69058,0.4519,0.055,0.14443,2.20035,POL,77.8512195121951,6.500576829268291,299740.0,46800.0,21620.0,37970087.0,1.4056474739862117,1.38,10.556999999999999,-8.338843553604143
54,South Korea,Eastern Asia,5.835,1.35948,0.72194,0.88645,0.25168,0.07716,0.18824,2.35015,KOR,82.2756097560976,6.870013414634149,614780.0,25770.0,10510.0,51217803.0,0.5760677098130002,1.71,13.081500000000002,-0.6658163312846135
55,Bolivia,Latin America and Caribbean,5.822,0.79422,0.83779,0.4697,0.50961,0.07746,0.21698,2.91635,BOL,70.626,5.805457200000001,21610.0,24830.0,9050.0,11031822.0,2.0289225774130784,2.0599999,15.758999235000001,-26.16833214532693
56,Lithuania,Central and Eastern Europe,5.813,1.2692,1.06411,0.64674,0.18929,0.0182,0.02025,2.60525,LTU,74.6707317073171,6.070730487804879,11200.0,3320.0,3640.0,2868231.0,2.8182813037335706,0.57999998,4.436999847,-6.433983225663934
57,Belarus,Central and Eastern Europe,5.802,1.13062,1.04993,0.63104,0.29091,0.17457,0.13942,2.38582,BLR,73.8268292682927,5.920911707317072,55210.0,16550.0,11750.0,9469379.0,2.855500040863886,0.75,5.7375,-10.462519777139477
58,North Cyprus,Western Europe,5.771,1.31141,0.81826,0.84142,0.43596,0.16578,0.26322,1.93447,CYP,80.513,6.207552300000001,7150.0,720.0,370.0,1170189.0,0.7823960946215187,0.61000001,4.6665000765,2.556500864595382
59,Slovenia,Central and Eastern Europe,5.768,1.29947,1.05613,0.79151,0.53164,0.03635,0.25738,1.79522,SVN,81.1756097560976,6.234286829268294,13930.0,2010.0,800.0,2065042.0,0.9844686304840253,0.97000003,7.4205002295,-1.0709628691739663
60,Peru,Latin America and Caribbean,5.743,0.99602,0.81255,0.62994,0.37502,0.05292,0.14527,2.73117,PER,76.044,5.650069200000003,56530.0,30920.0,9540.0,30926036.0,0.7917708903044396,1.914920098,14.6491387497,-5.9486924300432324
61,Turkmenistan,Central and Eastern Europe,5.658,1.08017,1.03817,0.44006,0.37408,0.28467,0.22567,2.21489,TKM,67.835,4.463543000000002,72020.0,50030.0,3500.0,5662371.0,2.606088321994538,0.34999999,2.6774999235,-2.514258282774617
62,Mauritius,Sub-Saharan Africa,5.648,1.14372,0.75695,0.66189,0.46145,0.05203,0.36951,2.20223,MUS,74.3948780487805,4.820788097560974,4040.0,1880.0,240.0,1263473.0,0.6238479243475074,0.0,0.0,4.820788097560974
63,Libya,Middle East and Northern Africa,5.615,1.06688,0.95076,0.52304,0.40672,0.10339,0.17087,2.39374,LBY,72.311,4.447126500000002,51180.0,29890.0,1940.0,6492160.0,1.318164417166342,0.12,0.9179999999999999,3.2370515650413
64,Latvia,Central and Eastern Europe,5.56,1.21788,0.95025,0.63952,0.27996,0.0889,0.17445,2.20859,LVA,74.580487804878,4.176507317073166,7150.0,1990.0,1940.0,1959537.0,2.218422329543345,0.68000001,5.202000076499999,-7.363725810920621
65,Cyprus,Western Europe,5.546,1.31857,0.70697,0.8488,0.29507,0.05228,0.27906,2.04497,CYP,80.513,4.3960098000000025,7150.0,720.0,370.0,1170189.0,0.7823960946215187,0.61000001,4.6665000765,0.7449583645953841
66,Paraguay,Latin America and Caribbean,5.538,0.89373,1.11111,0.58295,0.46235,0.07396,0.25296,2.16091,PRY,73.836,3.972376800000002,7150.0,29400.0,10120.0,6777878.0,3.7098248998277605,0.70999998,5.4314998469999995,-16.177536575811267
67,Romania,Central and Eastern Europe,5.528,1.1697,0.72803,0.67602,0.36712,0.00679,0.12889,2.45184,ROU,75.209756097561,3.9710751219512175,71140.0,24470.0,8280.0,19702267.0,1.0693036726186678,1.09,8.3385,-4.9453135521795435
68,Estonia,Central and Eastern Europe,5.517,1.27964,1.05163,0.68098,0.41511,0.18519,0.08423,1.81985,EST,77.6414634146342,4.014063658536591,15650.0,1070.0,1330.0,1315790.0,2.28817014260387,0.090000004,0.6885000306,2.43865844533582
69,Jamaica,Latin America and Caribbean,5.51,0.89333,0.96372,0.59469,0.43597,0.04294,0.22245,2.35682,JAM,74.175,3.7829249999999988,7750.0,800.0,410.0,2906242.0,0.3487930875807804,0.57999998,4.436999847,2.235330123769418
70,Croatia,Central and Eastern Europe,5.488,1.18649,0.60809,0.70524,0.23907,0.04002,0.18434,2.52462,HRV,78.0219512195122,3.807471219512199,16940.0,3740.0,1630.0,4174349.0,0.9620196441739836,1.1900001,9.103500765,-4.950275347170687
71,Somalia,Sub-Saharan Africa,5.44,0.0,0.33613,0.11466,0.56778,0.3118,0.27225,3.83772,SOM,56.324,2.4782560000000022,660.0,19490.0,6680.0,14185635.0,1.1689379232075652,0.28999999,2.2184999235,-0.11503269321223009
72,Turkey,Middle East and Northern Africa,5.389,1.16492,0.87717,0.64718,0.23889,0.12348,0.04707,2.29074,TUR,76.86,2.989854000000002,374590.0,44510.0,35140.0,79827868.0,1.0217829073855442,1.54,11.780999999999999,-9.047770431909093
73,Indonesia,Southeastern Asia,5.314,0.95104,0.87625,0.49374,0.39237,0.00322,0.56521,2.03171,IDN,71.035,2.230499,494980.0,277450.0,91090.0,261556386.0,0.8831962488656813,1.36,10.404000000000002,-6.95827477319855
74,Jordan,Middle East and Northern Africa,5.303,0.99673,0.86216,0.60712,0.36023,0.13297,0.14262,2.20142,JOR,74.184,2.2477751999999995,24860.0,6050.0,1300.0,9554286.0,0.38822325221640247,1.09,8.3385,-0.9894243886064724
75,Azerbaijan,Central and Eastern Europe,5.291,1.12373,0.76042,0.54504,0.35327,0.17914,0.0564,2.2735,AZE,72.493,2.1095463000000025,32660.0,44820.0,3970.0,9757812.0,1.5101867176426067,0.67000002,5.125500153,-5.630915952335746
76,Philippines,Southeastern Asia,5.279,0.81217,0.87877,0.47036,0.54854,0.11757,0.21674,2.23484,PHL,70.802,1.9753757999999997,124920.0,64990.0,13300.0,103663812.0,0.36191172891928847,1.09,8.3385,-1.0424251515934873
77,China,Eastern Asia,5.245,1.0278,0.79381,0.73561,0.44012,0.02745,0.04959,2.17087,CHN,76.21,1.8671450000000007,9814310.0,1242150.0,546990.0,1387790000.0,0.9896330779355839,3.73,28.5345,-26.371540062352917
78,Bhutan,Southern Asia,5.196,0.8527,0.90836,0.49759,0.46074,0.1616,0.48546,1.82916,BTN,70.781,1.3873075999999984,1230.0,870.0,180.0,736706.0,0.6832159535074426,2.0799999,15.911999234999998,-9.484024129550223
79,Kyrgyzstan,Central and Eastern Europe,5.185,0.56044,0.95434,0.55449,0.40212,0.04762,0.38432,2.28136,KGZ,70.9512195121951,1.3125975609756064,9700.0,4800.0,1850.0,6079500.0,0.7520478404289321,1.04,7.9559999999999995,-4.670695057476977
80,Serbia,Central and Eastern Europe,5.177,1.03437,0.81329,0.6458,0.15718,0.04339,0.20737,2.27539,SRB,75.6878048780488,1.3396741463414608,46240.0,12400.0,4910.0,7058322.0,1.7318398431804973,1.59,12.1635,-19.72555978618452
81,Bosnia and Herzegovina,Central and Eastern Europe,5.163,0.93383,0.64367,0.70766,0.09511,0.0,0.29889,2.48406,BIH,76.998,1.2550674000000022,22340.0,3460.0,1210.0,3386263.0,0.9279547420136209,2.24,17.136000000000003,-14.64636505914541
82,Montenegro,Central and Eastern Europe,5.161,1.07838,0.74173,0.63533,0.15111,0.12721,0.17191,2.25531,MNE,76.4414634146341,1.2307075609756057,2110.0,830.0,180.0,622303.0,0.8092467255382974,1.08,8.262,-5.4552888854218065
83,Dominican Republic,Latin America and Caribbean,5.155,1.02787,0.99496,0.57669,0.52259,0.12372,0.21286,1.69626,DOM,73.471,1.1388005000000019,24460.0,8980.0,3210.0,10397738.0,0.776668377732531,0.23,1.7595000000000003,-0.22774751062038656
84,Morocco,Middle East and Northern Africa,5.151,0.84058,0.38595,0.59471,0.25646,0.08404,0.04053,2.94891,MAR,75.974,1.1472073999999985,63080.0,17200.0,7940.0,35126274.0,0.5491276528129901,0.23999999,1.8359999235000002,0.13900907144361407
85,Hungary,Central and Eastern Europe,5.145,1.24142,0.93164,0.67608,0.1977,0.04472,0.099,1.95473,HUN,76.0634146341464,1.1029195121951194,44480.0,7200.0,5420.0,9814023.0,1.2776597434147545,1.01,7.7265,-8.76891849529898
86,Pakistan,Southern Asia,5.132,0.68816,0.26135,0.40306,0.14622,0.1388,0.31185,3.18286,PAK,66.77,0.8813639999999978,180570.0,143280.0,57870.0,203631356.0,0.6935768716987347,3.76,28.764,-19.068681137542406
87,Lebanon,Middle East and Northern Africa,5.129,1.12268,0.64184,0.76171,0.26228,0.03061,0.23693,2.07339,LBN,78.8,1.0165199999999965,27810.0,3100.0,740.0,6714281.0,0.3208717602265711,0.99000001,7.5735000765,-1.4136023006226293
88,Portugal,Western Europe,5.123,1.27607,0.94367,0.79363,0.44727,0.01521,0.11691,1.53015,PRT,81.1243902439025,0.9978300000000025,48760.0,11380.0,3160.0,10325452.0,0.8204295604294592,0.11,0.8415,0.30743852489861256
89,Macedonia,Central and Eastern Europe,5.121,1.0193,0.78236,0.64738,0.27668,0.07047,0.23507,2.08947,MKD,75.4,0.9123400000000035,7390.0,2490.0,580.0,2072490.0,0.7723853633342997,1.9400001,14.841000765,-10.550631768119143
90,Vietnam,Southeastern Asia,5.061,0.74037,0.79117,0.66157,0.55954,0.11556,0.25075,1.9418,VNM,75.172,0.45854919999999955,223870.0,89260.0,23590.0,93640435.0,0.6718003012720422,2.0799999,15.911999234999998,-10.231136679913503
91,Tunisia,Middle East and Northern Africa,5.045,0.97724,0.43165,0.59577,0.23553,0.0817,0.03936,2.68413,TUN,76.115,0.3425174999999994,28990.0,6290.0,3340.0,11303942.0,0.7075102768511549,0.27000001,2.0655000765000002,-1.1188450309605973
92,Greece,Western Europe,5.033,1.24886,0.75473,0.80029,0.05822,0.04127,0.0,2.12944,GRC,81.3878048780488,0.268579756097564,66850.0,9400.0,4400.0,10775971.0,1.0100012294758638,0.62,4.743,-4.5218560753064585
93,Tajikistan,Central and Eastern Europe,4.996,0.48835,0.75602,0.53119,0.43408,0.13509,0.25998,2.39106,TJK,70.397,-0.0281587999999969,5960.0,5400.0,1940.0,8663575.0,0.5560972747687192,1.0700001,8.185500764999999,-4.580093468033763
94,Mongolia,Eastern Asia,4.907,0.98853,1.08983,0.55469,0.35972,0.03285,0.34539,1.53586,MNG,69.321,-0.6446852999999998,18170.0,17010.0,12730.0,3056358.0,9.45160607562009,3.1800001,24.327000764999998,-230.57391353208854
95,Laos,Southeastern Asia,4.876,0.68042,0.5497,0.38291,0.52168,0.22423,0.43079,2.08637,LAO,66.924,-0.8298575999999979,15360.0,7850.0,2850.0,6845848.0,1.0386117211703905,2.29,17.5185,-19.02477703732348
96,Nigeria,Sub-Saharan Africa,4.875,0.75216,0.64498,0.05108,0.27854,0.0305,0.23219,2.88586,NGA,53.541,-0.6692625,108420.0,126910.0,36210.0,185960244.0,0.503179172982066,1.77,13.5405,-7.482560091763665
97,Honduras,Latin America and Caribbean,4.871,0.69429,0.75596,0.58383,0.26755,0.06906,0.2044,2.29551,HND,74.701,-0.9636428999999966,9400.0,7970.0,3050.0,9270794.0,0.8091660488228282,1.5599999,11.933999234999998,-10.6202299076396
98,Iran,Middle East and Northern Africa,4.813,1.11758,0.38857,0.64232,0.22544,0.0557,0.38538,1.99817,IRN,76.047,-1.4220789000000023,605760.0,143250.0,37260.0,79563991.0,1.2740072975840755,1.02,7.803,-11.363157843048544
99,Zambia,Sub-Saharan Africa,4.795,0.61202,0.6376,0.23573,0.42662,0.11479,0.17866,2.58991,ZMB,62.464,-1.2805120000000005,5590.0,17850.0,15170.0,16363449.0,2.0764164151026283,1.49,11.3985,-24.94854450754731
100,Nepal,Southern Asia,4.793,0.44626,0.69699,0.50073,0.37012,0.07008,0.3816,2.32694,NPL,69.848,-1.445853599999999,9340.0,29720.0,7940.0,27263430.0,0.7587832653798066,4.25,32.512499999999996,-26.11579451566096
101,Albania,Central and Eastern Europe,4.655,0.9553,0.50163,0.73007,0.31866,0.05301,0.1684,1.92816,ALB,78.194,-2.6976929999999983,4930.0,3250.0,1250.0,2876101.0,1.0706621619425265,0.79000002,6.043500153,-9.168239939510968
102,Bangladesh,Southern Asia,4.643,0.54177,0.24749,0.52989,0.39778,0.12583,0.19132,2.60904,BGD,71.785,-2.5627245000000016,73740.0,80240.0,27270.0,157977151.0,0.43210985495165244,6.2399998,47.73599847,-23.189919874844005
103,Sierra Leone,Sub-Saharan Africa,4.635,0.36485,0.628,0.0,0.30685,0.08196,0.23897,3.01402,SLE,53.444,-1.9507060000000014,960.0,4800.0,1750.0,7328846.0,0.5876013728586462,0.70999998,5.4314998469999995,-5.142262766778728
104,Iraq,Middle East and Northern Africa,4.575,1.07474,0.59205,0.51076,0.24856,0.13636,0.19589,1.81657,IRQ,70.122,-2.9801849999999988,172350.0,15840.0,4770.0,36610632.0,0.3621794521839946,1.74,13.311,-7.801155688021151
105,Namibia,Sub-Saharan Africa,4.574,0.93287,0.70362,0.34745,0.48614,0.10398,0.07795,1.92198,NAM,62.625,-2.6678250000000014,4360.0,4970.0,3260.0,2358044.0,3.172951755682678,0.87,6.6555,-23.785405409946065
106,Cameroon,Sub-Saharan Africa,4.513,0.52497,0.62542,0.12698,0.42736,0.06126,0.2268,2.5198,CMR,58.063,-2.827668100000001,8550.0,14760.0,62700.0,23926549.0,5.519063765441363,2.5,19.125,-108.37976261406607
107,Ethiopia,Sub-Saharan Africa,4.508,0.29283,0.37932,0.34578,0.36703,0.1717,0.29522,2.65614,ETH,65.482,-3.2217144,14950.0,100810.0,50870.0,103603461.0,1.1549848038224524,1.11,8.4915,-13.029267861658354
108,South Africa,Sub-Saharan Africa,4.459,1.02416,0.96053,0.18611,0.42483,0.08415,0.13656,1.64227,ZAF,63.153,-3.4165773000000024,425180.0,44460.0,17510.0,56207649.0,0.8071157440213009,1.51,11.551499999999999,-12.739974817062059
