,Country,Happiness Score,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Generosity,Trust (Government Corruption),Dystopia Residual,Country Code,2017_lifeexp,NHLY,2017_co2,2017_ch4,2017_n2o,2017_pop,2017_extcostratio,2017_llpp_who,PCEC,ERHNI
0,Norway,7.53700017929077,1.61646318435669,1.53352355957031,0.796666502952576,0.635422587394714,0.36201223731041,0.315963834524155,2.27702665328979,NOR,82.609756097561,20.958096603067904,36900.0,4930.0,3210.0,5276968.0,1.4318466642462468,0.02,0.15300000000000002,20.73902406343823
1,Denmark,7.52199983596802,1.48238301277161,1.55112159252167,0.792565524578094,0.626006722450256,0.355280488729477,0.40077006816864,2.31370735168457,DNK,81.1024390243903,20.45403379161187,33330.0,7090.0,5080.0,5764980.0,2.027968758436204,0.20999999,1.6064999235,17.19610213632372
2,Iceland,7.50400018692017,1.480633020401,1.6105740070343,0.833552122116089,0.627162635326385,0.475540220737457,0.153526559472084,2.32271528244019,ISL,82.6609756097561,20.69830983778328,2170.0,540.0,410.0,343400.0,2.724571927539819,0.0,0.0,20.69830983778328
3,Switzerland,7.49399995803833,1.56497955322266,1.51691174507141,0.858131289482117,0.620070576667786,0.290549278259277,0.367007285356522,2.2767162322998,CHE,83.5512195121951,20.83767379574659,38620.0,4830.0,2180.0,8451840.0,0.6423051602294477,0.44,3.366,18.675674626414267
4,Finland,7.4689998626709,1.44357192516327,1.5402467250824,0.80915766954422,0.617950856685638,0.24548277258873,0.38261154294014,2.4301815032959,FIN,81.6317073170732,20.154867415544484,43010.0,4340.0,4650.0,5508214.0,1.9034054533108928,0.0,0.0,20.154867415544484
5,Netherlands,7.3769998550415,1.50394463539124,1.42893922328949,0.810696125030518,0.585384488105774,0.470489829778671,0.282661825418472,2.29480409622192,NLD,81.7609756097561,19.43458271724419,155910.0,17960.0,8080.0,17131296.0,1.1799438098303272,0.49000001,3.7485000765,15.011563255829508
6,Canada,7.31599998474121,1.47920441627502,1.48134899139404,0.83455765247345,0.611100912094116,0.435539722442627,0.287371516227722,2.18726444244385,CAN,81.9,18.968039875030513,562260.0,92380.0,41400.0,36545236.0,2.792354068414989,0.15000001,1.1475000764999999,15.763813367909227
7,New Zealand,7.31400012969971,1.40570604801178,1.54819512367249,0.816759705543518,0.614062130451202,0.500005125999451,0.382816702127457,2.0464563369751,NZL,81.6585365853659,18.895786424962516,32920.0,32630.0,15010.0,4813600.0,7.424850753943763,0.0,0.0,18.895786424962516
8,Sweden,7.28399991989136,1.49438726902008,1.47816216945648,0.830875158309937,0.612924098968506,0.385399252176285,0.384398728609085,2.09753799438477,SWE,82.409756097561,18.822387632509585,38330.0,4720.0,5100.0,10057698.0,1.1368958195880203,0.039999999,0.30599999235,18.474497520412903
9,Australia,7.28399991989136,1.484414935112,1.51004195213318,0.84388679265976,0.601607382297516,0.477699249982834,0.301183730363846,2.06521081924438,AUS,82.5,18.84299933910372,387200.0,139810.0,79440.0,24601860.0,7.559449491867306,0.0,0.0,18.84299933910372
10,Israel,7.21299982070923,1.37538242340088,1.37628996372223,0.83840399980545,0.405988603830338,0.330082654953003,0.0852421000599861,2.80175733566284,ISR,82.5512195121951,18.268583397981608,66040.0,11890.0,2320.0,8713300.0,0.7903340067162034,0.69999999,5.3549999235,14.03634485247689
11,Costa Rica,7.0789999961853,1.10970628261566,1.41640365123749,0.759509265422821,0.580131649971008,0.214613229036331,0.100106589496136,2.89863920211792,CRI,79.914,16.614120569515208,8180.0,4870.0,1920.0,4949955.0,0.9485723369612304,0.67000002,5.125500153,11.752212911288854
12,Austria,7.00600004196167,1.48709726333618,1.4599449634552,0.815328419208527,0.567766189575195,0.316472321748734,0.221060365438461,2.1385064125061,AUT,81.6439024390244,16.377767171859745,65830.0,6740.0,3630.0,8797566.0,1.0079580272664177,0.68000001,5.202000076499999,11.13436943691105
13,United States,6.99300003051758,1.54625928401947,1.41992056369781,0.77428662776947,0.505740523338318,0.392578780651093,0.135638788342476,2.2181134223938,USA,78.5390243902439,15.652827800657704,4813720.0,614500.0,249290.0,325122128.0,1.9442443343833071,0.2,1.5300000000000002,12.678133969051244
14,Ireland,6.97700023651123,1.53570663928986,1.55823111534119,0.80978262424469,0.573110342025757,0.42785832285881,0.29838815331459,1.77386903762817,IRL,82.1560975609756,16.24226243088884,37530.0,16770.0,9760.0,4807388.0,4.727178951682226,0.0,0.0,16.24226243088884
15,Germany,6.95100021362305,1.48792338371277,1.47252035140991,0.798950731754303,0.562511384487152,0.336269170045853,0.276731938123703,2.01576995849609,DEU,80.9926829268293,15.801674169214797,732200.0,54780.0,34580.0,82657002.0,1.014507546059813,0.55000001,4.2075000765,11.533133591558308
16,Belgium,6.89099979400635,1.46378076076508,1.46231269836426,0.818091869354248,0.539770722389221,0.231503337621689,0.251343131065369,2.12421035766602,BEL,81.4926829268293,15.410264662765906,92770.0,8180.0,4440.0,11375158.0,0.9598873553250122,0.50999999,3.9014999235,11.665264219396754
17,Luxembourg,6.86299991607666,1.74194359779358,1.45758366584778,0.845089495182037,0.59662789106369,0.283180981874466,0.31883442401886,1.61951208114624,LUX,82.0951219512195,15.294320530542512,9000.0,550.0,310.0,596336.0,1.3015956107088316,0.44999999,3.4424999235000002,10.813577740249423
18,United Kingdom,6.71400022506714,1.44163393974304,1.49646008014679,0.805335938930511,0.508190035820007,0.492774158716202,0.265428066253662,1.70414352416992,GBR,81.2560975609756,13.927296950758963,366380.0,51630.0,28280.0,66058859.0,1.0291818365949381,0.31999999,2.4479999235,11.407859893506966
19,Chile,6.65199995040894,1.25278460979462,1.28402495384216,0.819479703903198,0.376895278692245,0.326662421226501,0.0822879821062088,2.50958585739136,CHL,79.909,13.2009664037228,87040.0,13110.0,6320.0,18470435.0,0.8363407888717853,1.17,8.9505,5.715298172925886
20,United Arab Emirates,6.64799976348877,1.62634336948395,1.26641023159027,0.726798236370087,0.60834527015686,0.3609419465065,0.324489563703537,1.734703540802,ARE,77.647,12.796223763561258,208250.0,51830.0,7020.0,9487206.0,2.4357561437165405,1.28,9.792000000000002,-11.054700395711109
21,Brazil,6.63500022888184,1.10735321044922,1.43130600452423,0.616552352905273,0.437453746795654,0.16234989464283,0.111092761158943,2.76926708221436,BRA,75.456,12.337057727050816,449840.0,421660.0,184380.0,207833825.0,2.1278587864538805,0.52999997,4.0544997705,3.709654765717149
22,Czech Republic,6.60900020599365,1.35268235206604,1.43388521671295,0.754444003105164,0.490946173667908,0.0881067588925362,0.0368729270994663,2.45186185836792,CZE,78.9780487804878,12.707569675678139,103420.0,12430.0,5280.0,10594438.0,1.2569146301247562,1.0,7.65,3.0921727552237535
23,Argentina,6.59899997711182,1.18529546260834,1.44045114517212,0.695137083530426,0.494519203901291,0.109457060694695,0.059739887714386,2.61400532722473,ARG,76.372,12.211882625198394,180120.0,117570.0,48340.0,44044811.0,2.6640999449462694,0.49000001,3.7485000765,2.225503777763656
24,Mexico,6.57800006866455,1.15318381786346,1.210862159729,0.709978997707367,0.412730008363724,0.120990432798862,0.132774114608765,2.83715486526489,MEX,74.947,11.826637114620205,471810.0,143310.0,42880.0,124777326.0,0.8945125361356489,1.14,8.720999999999998,4.025593286981213
25,Singapore,6.57200002670288,1.69227766990662,1.35381436347961,0.949492394924164,0.549840569496155,0.345965981483459,0.46430778503418,1.21636199951172,SGP,83.0951219512195,13.062553392619611,47430.0,4050.0,9310.0,5612253.0,3.578885545348561,0.73000002,5.5845001530000005,-6.923733482948917
26,Malta,6.52699995040894,1.34327983856201,1.48841166496277,0.821944236755371,0.588767051696777,0.574730575084686,0.153066068887711,1.55686283111572,MLT,82.3463414634146,12.574285933099175,1520.0,220.0,40.0,467999.0,0.26360106762249164,0.19,1.4535,12.191141781309883
27,Uruguay,6.4539999961853,1.21755969524384,1.41222786903381,0.719216823577881,0.57939225435257,0.175096929073334,0.178061872720718,2.17240953445435,URY,77.632,11.287692770385723,6080.0,21370.0,7760.0,3436645.0,5.538371049601051,0.25999999,1.9889999235,0.2718731764146174
28,Guatemala,6.4539999961853,0.872001945972443,1.25558519363403,0.540239989757538,0.531310617923737,0.283488392829895,0.0772232785820961,2.89389109611511,GTM,73.81,10.7319739718437,16510.0,11660.0,4990.0,16087418.0,0.7479271372425977,2.1500001,16.447500765,-1.5695581901181868
29,Panama,6.4520001411438,1.23374843597412,1.37319254875183,0.706156134605408,0.550026834011078,0.21055693924427,0.070983923971653,2.30719995498657,PAN,78.149,11.34723590302468,10250.0,5260.0,1300.0,4106764.0,0.848542267977332,0.34,2.6010000000000004,9.14017746401564
30,France,6.44199991226196,1.43092346191406,1.38777685165405,0.844465851783752,0.470222115516663,0.129762306809425,0.172502428293228,2.00595474243164,FRA,82.5756097560976,11.907402202327063,316360.0,59130.0,38470.0,66918020.0,1.3407606577540274,0.37,2.8305000000000002,8.112379160554287
31,Thailand,6.42399978637695,1.12786877155304,1.42579245567322,0.647239029407501,0.580200731754303,0.572123110294342,0.0316127352416515,2.03950834274292,THA,76.683,10.919657561874363,260660.0,84450.0,21330.0,69209817.0,0.8312860346429458,1.5700001,12.010500765,0.9354960068614453
32,Spain,6.40299987792969,1.38439786434174,1.53209090232849,0.888960599899292,0.408781230449677,0.190133571624756,0.0709140971302986,1.92775774002075,ESP,83.2829268292683,11.684593617509075,263440.0,39600.0,20140.0,46593236.0,1.0480047081737334,0.18000001,1.3770000765,10.241491054181484
33,Qatar,6.375,1.87076568603516,1.27429687976837,0.710098087787628,0.604130983352661,0.330473870038986,0.439299255609512,1.1454644203186,QAT,79.981,10.9973875,87680.0,8080.0,940.0,2724727.0,1.3401142100216676,2.8199999,21.572999235,-17.912895327610066
