,Country,Happiness Score,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Generosity,Trust (Government Corruption),Country Code,2018_lifeexp,NHLY,2018_co2,2018_ch4,2018_n2o,2018_pop,2018_extcostratio,2018_llpp_who,PCEC,ERHNI
127,Sudan,4.139,0.605,1.24,0.312,0.016,0.134,0.082,SDN,65.095,-5.604679499999999,20200.0,58850.0,29610.0,41801532.0,1.6783099295968296,0.47,3.5955,-11.6390428518654
128,Ukraine,4.103,0.793,1.413,0.609,0.163,0.187,0.011,UKR,71.5826829268293,-6.4209666585365905,185370.0,62950.0,25310.0,44622518.0,1.409230484225749,0.94999999,7.267499923499999,-16.66254909484109
129,Togo,3.999,0.259,0.474,0.253,0.434,0.158,0.101,TGO,60.76,-6.082076,2260.0,3450.0,1870.0,7889095.0,0.5576842864949585,0.98000002,7.497000153,-10.263035181178399
130,Guinea,3.964,0.344,0.792,0.211,0.394,0.185,0.094,GIN,61.185,-6.338766000000001,3120.0,17830.0,6590.0,12414292.0,1.31081024149573,0.52999997,4.0544997705,-11.653445823313486
131,Lesotho,3.808,0.472,1.215,0.079,0.423,0.116,0.112,LSO,53.705,-6.401636000000002,2570.0,2320.0,820.0,2108327.0,0.9741474420778568,1.74,13.311,-19.368512601498352
132,Angola,3.795,0.73,1.125,0.269,0.0,0.079,0.061,AGO,60.782,-7.324231,27340.0,35520.0,16440.0,30809787.0,1.280825354721761,1.35,10.3275,-20.551954850888986
133,Madagascar,3.774,0.262,0.908,0.402,0.221,0.155,0.049,MDG,66.681,-8.175090599999999,3370.0,17470.0,8770.0,26262313.0,0.7907553994821366,0.36000001,2.7540000765,-10.352831030666591
134,Zimbabwe,3.692,0.357,1.094,0.248,0.406,0.132,0.099,ZWE,61.195,-8.004306,12270.0,11850.0,6470.0,14438812.0,1.0554829945465163,1.0700001,8.185500764999999,-16.643962859305
135,Afghanistan,3.632,0.332,0.537,0.255,0.085,0.191,0.036,AFG,64.486,-8.821684800000002,7440.0,81510.0,8960.0,37171922.0,0.8132974164120231,0.85000002,6.502500153000001,-14.110151374653686
136,Botswana,3.59,1.017,1.174,0.417,0.557,0.042,0.092,BWA,69.275,-9.767775000000002,8210.0,4560.0,3160.0,2254067.0,3.231884399279778,0.88,6.732,-31.52482077595147
137,Malawi,3.587,0.186,0.541,0.306,0.531,0.21,0.08,MWI,63.798,-9.014657399999999,1570.0,11020.0,4970.0,18143215.0,0.6572477937873611,1.24,9.486,-15.249309971866907
138,Haiti,3.582,0.315,0.714,0.289,0.025,0.392,0.104,HTI,63.66,-9.026988,3330.0,4730.0,1600.0,11123183.0,0.3618402089484048,0.31,2.3715,-9.885092055521142
139,Liberia,3.495,0.076,0.858,0.267,0.419,0.206,0.03,LBR,63.73,-9.591365,1320.0,6210.0,1370.0,4818976.0,0.7762854391515036,0.55000001,4.2075000765,-12.857586044615786
140,Syria,3.462,0.689,0.382,0.539,0.088,0.376,0.144,SYR,71.779,-11.039610199999998,27910.0,12770.0,3210.0,16945062.0,0.5122822338776521,1.47,11.245500000000002,-16.800480061071138
141,Rwanda,3.408,0.332,0.896,0.4,0.636,0.2,0.444,RWA,68.7,-10.937040000000001,1080.0,2910.0,1960.0,12301969.0,0.3660409699085438,2.4200001,18.513000765,-17.713556755938214
142,Tanzania,3.303,0.455,0.991,0.381,0.481,0.27,0.097,TZA,65.015,-11.033045500000002,11580.0,62650.0,30340.0,56313444.0,1.2813262856952201,1.0599999,8.108999234999999,-21.42331937048793
143,South Sudan,3.254,0.337,0.608,0.177,0.112,0.224,0.106,SSD,57.604,-10.0576584,1380.0,34170.0,23010.0,10975924.0,4.809585302301399,0.88999999,6.808499923499999,-42.8037195627858
144,Central African Republic,3.083,0.024,0.0,0.01,0.305,0.218,0.038,CAF,52.805,-10.1227185,330.0,23200.0,32110.0,4666375.0,15.043688414301402,2.1900001,16.753500765,-262.15716385742013
145,Burundi,2.905,0.091,0.627,0.145,0.065,0.149,0.076,BDI,61.247,-12.8312465,590.0,2140.0,2360.0,11175379.0,0.467516648029478,2.29,17.5185,-21.02143689850441
