,Country,Happiness Score,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Generosity,Trust (Government Corruption),Country Code,2018_lifeexp,NHLY,2018_co2,2018_ch4,2018_n2o,2018_pop,2018_extcostratio,2018_llpp_who,PCEC,ERHNI
29,Uruguay,6.379,1.093,1.459,0.771,0.625,0.13,0.155,URY,77.77,10.724482999999998,6520.0,20940.0,7730.0,3449290.0,5.540457114858609,0.22,1.683,1.399893675692958
30,Qatar,6.374,1.649,1.303,0.748,0.654,0.256,0.171,QAT,80.1,11.005739999999996,90170.0,8110.0,880.0,2781682.0,1.2888829617072315,2.54,19.430999999999997,-14.038544828933215
31,Saudi Arabia,6.371,1.379,1.331,0.633,0.509,0.098,0.127,SAU,74.998,10.282225800000004,514600.0,44170.0,5750.0,33702757.0,0.6432584719001767,1.9400001,14.841000765,0.7356263264367513
32,Singapore,6.343,1.529,1.451,1.008,0.631,0.261,0.457,SGP,83.2975609756098,11.186862439024397,47360.0,4150.0,9710.0,5638676.0,3.7493442467256477,0.81,6.1965,-12.04594918581108
33,Malaysia,6.322,1.161,1.258,0.669,0.356,0.311,0.059,MYS,75.997,10.046803400000002,239620.0,46580.0,11120.0,31528033.0,0.9947648662715349,0.88,6.732,3.350046320260028
34,Spain,6.31,1.251,1.538,0.965,0.449,0.142,0.074,ESP,83.4317073170732,10.929553658536587,258340.0,39940.0,20350.0,46797754.0,1.0638973673563228,0.2,1.5300000000000002,9.301790686481413
35,Colombia,6.26,0.96,1.439,0.635,0.531,0.099,0.039,COL,77.109,9.715733999999998,79490.0,76700.0,21720.0,49661056.0,1.1403459517611765,0.89999998,6.8849998470000005,1.8644522965972277
36,Slovakia,6.173,1.21,1.537,0.776,0.354,0.118,0.014,SVK,77.2658536585366,9.063284634146344,33000.0,4360.0,1970.0,5446771.0,0.9075435821165553,1.0700001,8.185500764999999,1.6345859484604413
37,El Salvador,6.167,0.806,1.231,0.639,0.461,0.065,0.082,SLV,73.096,8.530303199999999,6810.0,3990.0,1200.0,6420740.0,0.484380008976321,1.84,14.076000000000002,1.7121701936493032
38,Nicaragua,6.141,0.668,1.319,0.7,0.527,0.208,0.128,NIC,74.275,8.474777500000002,5210.0,9830.0,3410.0,6465502.0,1.3192771739777618,0.56,4.284000000000001,2.8229940866792695
