,Unnamed: 0,Country,Region,Happiness Score,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity,Dystopia Residual,Country Code,2016_lifeexp,NHLY,2016_co2,2016_ch4,2016_n2o,2016_pop,2016_extcostratio,2016_llpp_who,PCEC,ERHNI,Year,Unnamed: 0,Country,Happiness Score,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Generosity,Trust (Government Corruption),Dystopia Residual,Country Code,2017_lifeexp,NHLY,2017_co2,2017_ch4,2017_n2o,2017_pop,2017_extcostratio,2017_llpp_who,PCEC,ERHNI,Year,Unnamed: 0,Country,Happiness Score,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Generosity,Trust (Government Corruption),Country Code,2018_lifeexp,NHLY,2018_co2,2018_ch4,2018_n2o,2018_pop,2018_extcostratio,2018_llpp_who,PCEC,ERHNI,Year
0,0,Denmark,Western Europe,7.526,1.44178,1.16374,0.79504,0.57941,0.44453,0.36171,2.73939,DNK,80.8536585365854,20.42363414634147,35380.0,7170.0,5080.0,5728010.0,2.054712954793766,0.23,1.7595000000000005,16.80836670238184,2016,0,Norway,7.53700017929077,1.61646318435669,1.53352355957031,0.796666502952576,0.635422587394714,0.36201223731041,0.315963834524155,2.27702665328979,NOR,82.609756097561,20.958096603067904,36900.0,4930.0,3210.0,5276968.0,1.4318466642462468,0.02,0.153,20.73902406343823,2017,0.0,Finland,7.632,1.305,1.592,0.874,0.681,0.202,0.393,FIN,81.7341463414634,21.512427317073165,44360.0,4240.0,4670.0,5515525.0,1.9272504145615093,0.029999999,4.160981816780813e-08,21.512427236880622,2018
1,1,Switzerland,Western Europe,7.509,1.52733,1.14524,0.86303,0.58557,0.41203,0.28083,2.69463,CHE,83.6024390243903,20.97585195121953,39610.0,4860.0,2190.0,8373338.0,0.6550496852601319,0.44999999,3.4424999235,18.72084345982283,2016,1,Denmark,7.52199983596802,1.48238301277161,1.55112159252167,0.792565524578094,0.626006722450256,0.355280488729477,0.40077006816864,2.31370735168457,DNK,81.1024390243903,20.45403379161187,33330.0,7090.0,5080.0,5764980.0,2.027968758436204,0.20999999,1.6064999235,17.19610213632372,2017,1.0,Norway,7.594,1.456,1.582,0.861,0.686,0.286,0.34,NOR,82.7585365853659,21.46756439024392,37350.0,4850.0,3190.0,5311916.0,1.4277825409291296,0.07,1.0081108210295497e-07,21.467564246307614,2018
2,2,Iceland,Western Europe,7.501,1.42666,1.18326,0.86733,0.56624,0.14975,0.47678,2.83137,ISL,82.2048780487805,20.55944000000001,2070.0,550.0,400.0,335439.0,2.742364816066837,0.0,0.0,20.55944000000001,2016,2,Iceland,7.50400018692017,1.480633020401,1.6105740070343,0.833552122116089,0.627162635326385,0.475540220737457,0.153526559472084,2.32271528244019,ISL,82.6609756097561,20.69830983778328,2170.0,540.0,410.0,343400.0,2.724571927539819,0.0,0.0,20.69830983778328,2017,2.0,Denmark,7.555,1.351,1.59,0.868,0.683,0.284,0.408,DNK,80.9536585365854,20.68365975609757,33380.0,7140.0,4740.0,5793636.0,1.9178460531194133,0.36000001,4.753491721778863e-07,20.683658844451035,2018
3,3,Norway,Western Europe,7.498,1.57744,1.1269,0.79579,0.59609,0.35776,0.37895,2.66465,NOR,82.4073170731707,20.585347804878044,37950.0,4990.0,3220.0,5234519.0,1.45694532848181,0.039999999,0.30599999235,20.139522545508243,2016,3,Switzerland,7.49399995803833,1.56497955322266,1.51691174507141,0.858131289482117,0.620070576667786,0.290549278259277,0.367007285356522,2.2767162322998,CHE,83.5512195121951,20.83767379574659,38620.0,4830.0,2180.0,8451840.0,0.6423051602294477,0.44,3.366,18.675674626414267,2017,3.0,Iceland,7.495,1.343,1.644,0.914,0.677,0.353,0.138,ISL,82.8609756097561,20.673813414634147,2200.0,530.0,400.0,352721.0,2.617578829424585,0.0,0.0,20.673813414634147,2018
4,4,Finland,Western Europe,7.413,1.40598,1.13464,0.81091,0.57104,0.41004,0.25492,2.82596,FIN,81.4292682926829,19.648882439024387,45710.0,4470.0,4650.0,5495303.0,1.9231777732271915,0.0099999998,0.07649999847,19.50175934231497,2016,4,Finland,7.4689998626709,1.44357192516327,1.5402467250824,0.80915766954422,0.617950856685638,0.24548277258873,0.38261154294014,2.4301815032959,FIN,81.6317073170732,20.154867415544484,43010.0,4340.0,4650.0,5508214.0,1.9034054533108928,0.0,0.0,20.154867415544484,2017,4.0,Switzerland,7.487,1.42,1.549,0.927,0.66,0.256,0.357,CHE,83.7536585365854,20.829534878048797,37480.0,4790.0,2140.0,8514329.0,0.6328525140788088,0.43000001,3.86348715970454e-07,20.82953463354704,2018
5,5,Canada,North America,7.404,1.44015,1.0961,0.8276,0.5737,0.31329,0.44834,2.70485,CAN,81.9,19.68876,550480.0,90490.0,40990.0,36109487.0,2.805875253183736,0.1,0.7650000000000001,17.542265431314444,2016,5,Netherlands,7.3769998550415,1.50394463539124,1.42893922328949,0.810696125030518,0.585384488105774,0.470489829778671,0.282661825418472,2.29480409622192,NLD,81.7609756097561,19.43458271724419,155910.0,17960.0,8080.0,17131296.0,1.1799438098303272,0.49000001,3.7485000765,15.011563255829508,2017,5.0,Netherlands,7.441,1.361,1.488,0.878,0.638,0.333,0.295,NLD,81.8121951219512,19.970356829268287,151170.0,17260.0,7790.0,17231624.0,1.142586620528775,0.57999998,2.574916819795975e-07,19.970356535061736,2018
6,6,Netherlands,Western Europe,7.339,1.46468,1.02912,0.81231,0.55211,0.29927,0.47416,2.70749,NLD,81.5609756097561,19.07711219512196,158270.0,18830.0,8290.0,17030314.0,1.2259986396152454,0.50999999,3.9014999235,14.293878596451972,2016,6,Canada,7.31599998474121,1.47920441627502,1.48134899139404,0.83455765247345,0.611100912094116,0.435539722442627,0.287371516227722,2.18726444244385,CAN,81.9,18.968039875030517,562260.0,92380.0,41400.0,36545236.0,2.792354068414989,0.15000001,1.1475000765,15.763813367909227,2017,6.0,Canada,7.328,1.33,1.532,0.896,0.653,0.321,0.291,CAN,82.0487804878049,19.100956097560985,574400.0,93980.0,43120.0,37065084.0,2.886770327803367,0.14,2.889511865128918e-08,19.10095601414741,2018
7,7,New Zealand,Australia and New Zealand,7.334,1.36066,1.17278,0.83096,0.58147,0.41904,0.49401,2.47553,NZL,81.6124390243903,19.04834326829269,31180.0,32810.0,14970.0,4714100.0,7.601430597026536,0.0,0.0,19.04834326829269,2016,7,New Zealand,7.31400012969971,1.40570604801178,1.54819512367249,0.816759705543518,0.614062130451202,0.500005125999451,0.382816702127457,2.0464563369751,NZL,81.6585365853659,18.89578642496252,32920.0,32630.0,15010.0,4813600.0,7.424850753943763,0.0,0.0,18.89578642496252,2017,7.0,New Zealand,7.324,1.268,1.601,0.876,0.669,0.365,0.389,NZL,81.8585365853659,19.023923902439037,32210.0,32530.0,15040.0,4900600.0,7.377618810869249,0.0,0.0,19.023923902439037,2018
8,8,Australia,Australia and New Zealand,7.313,1.44443,1.10476,0.8512,0.56837,0.32331,0.47407,2.5465,AUS,82.4487804878049,19.07040292682927,383960.0,118280.0,57390.0,24190907.0,5.708327840973949,0.0,0.0,19.07040292682927,2016,8,Sweden,7.28399991989136,1.49438726902008,1.47816216945648,0.830875158309937,0.612924098968506,0.385399252176285,0.384398728609085,2.09753799438477,SWE,82.409756097561,18.822387632509585,38330.0,4720.0,5100.0,10057698.0,1.1368958195880203,0.039999999,0.30599999235,18.474497520412903,2017,8.0,Sweden,7.314,1.355,1.501,0.913,0.659,0.285,0.383,SWE,82.5585365853659,19.104045365853672,36000.0,4580.0,4920.0,10175214.0,1.0950758677059582,0.07,5.2627885762402656e-08,19.104045308222144,2018
9,9,Sweden,Western Europe,7.291,1.45181,1.08764,0.83121,0.58218,0.40867,0.38254,2.54734,SWE,82.3073170731707,18.85660634146341,38790.0,4770.0,4960.0,9923085.0,1.129352762330157,0.039999999,0.30599999235,18.51102440482993,2016,9,Australia,7.28399991989136,1.484414935112,1.51004195213318,0.84388679265976,0.601607382297516,0.477699249982834,0.301183730363846,2.06521081924438,AUS,82.5,18.84299933910372,387200.0,139810.0,79440.0,24601860.0,7.559449491867306,0.0,0.0,18.84299933910372,2017,9.0,Australia,7.272,1.34,1.573,0.91,0.647,0.361,0.302,AUS,82.7487804878049,18.800522926829277,386620.0,139070.0,76760.0,24982688.0,7.293548915049637,0.0,0.0,18.800522926829277,2018
10,10,Israel,Middle East and Northern Africa,7.267,1.33766,0.99537,0.84917,0.36432,0.08728,0.32288,3.31029,ISR,82.4073170731707,18.6817387804878,65260.0,11730.0,2260.0,8546000.0,0.7916922314907874,0.55000001,4.2075000765,15.35069365592586,2016,10,Israel,7.21299982070923,1.37538242340088,1.37628996372223,0.83840399980545,0.405988603830338,0.330082654953003,0.0852421000599861,2.80175733566284,ISR,82.5512195121951,18.268583397981608,66040.0,11890.0,2320.0,8713300.0,0.7903340067162034,0.69999999,5.3549999235,14.03634485247689,2017,10.0,United Kingdom,7.19,1.244,1.433,0.888,0.464,0.262,0.082,GBR,81.2560975609756,17.795085365853662,358800.0,51210.0,28290.0,66460344.0,1.0322341269980035,0.34999999,4.028718123246548e-08,17.79508532426786,2018
